"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"153
Wheeler County","11",".06%","91.67%","1",".05%","8.33%","12",".06%"
"154
White County","43",".23%","89.58%","5",".26%","10.42%","48",".23%"
"155
Whitfield County","276","1.44%","86.79%","42","2.15%","13.21%","318","1.51%"
"156
Wilcox County","12",".06%","70.59%","5",".26%","29.41%","17",".08%"
"157
Wilkes County","26",".14%","86.67%","4",".20%","13.33%","30",".14%"
"158
Wilkinson County","23",".12%","92.00%","2",".10%","8.00%","25",".12%"
"159
Worth County","14",".07%","100.00%","","","","14",".07%"
"Total Rported","19,103","100%","90.73%","1,952","100%","9.27%","21,055","100%"
