"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","5,763","35.54%","82.18%","1,250","53.76%","17.82%","7,013","37.83%"
"Black
1 2 3 6","10,409","64.20%","90.69%","1,068","45.94%","9.31%","11,477","61.91%"
"Indian","22",".14%","95.65%","1",".04%","4.35%","23",".12%"
"Asian","20",".12%","76.92%","6",".26%","23.08%","26",".14%"
"Total Reported","16,214","100%","87.46%","2,325","100%","12.54%","18,539","100%"
