"Hispanic Origin","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Non Hispanic","16,505","96.06%","88.88%","2,064","97.54%","11.12%","18,569","96.22%"
"Hispanic","677","3.94%","92.87%","52","2.46%","7.13%","729","3.78%"
"Total Reported","17,182","100%","89.04%","2,116","100%","10.96%","19,298","100%"
