"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","7,005","38.61%","85.14%","1,223","55.82%","14.86%","8,228","40.46%"
"Black
1 2 3 6","11,116","61.27%","92.00%","966","44.09%","8.00%","12,082","59.41%"
"Indian","11",".06%","84.62%","2",".09%","15.38%","13",".06%"
"Asian","12",".07%","100.00%","","","","12",".06%"
"Total Reported","18,144","100%","89.23%","2,191","100%","10.77%","20,335","100%"
