"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,008","39.20%","82.75%","1,252","64.47%","17.25%","7,260","42.04%"
"Black","8,813","57.50%","92.95%","668","34.40%","7.05%","9,481","54.91%"
"Other
1 2 5 6 9","18",".12%","90.00%","2",".10%","10.00%","20",".12%"
"Asian","53",".35%","89.83%","6",".31%","10.17%","59",".34%"
"Unknown","2",".01%","100.00%","","","","2",".01%"
"10
Hispanic","419","2.73%","97.22%","12",".62%","2.78%","431","2.50%"
"12
Native American","12",".08%","85.71%","2",".10%","14.29%","14",".08%"
"13
Native Hawaiian","1",".01%","100.00%","","","","1",".01%"
"Total Reported","15,326","100%","88.75%","1,942","100%","11.25%","17,268","100%"
