"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,518","34.12%","85.81%","1,078","55.23%","14.19%","7,596","36.08%"
"Black","11,651","60.99%","93.39%","825","42.26%","6.61%","12,476","59.25%"
"Other
1 2 5 6 9","11",".06%","61.11%","7",".36%","38.89%","18",".09%"
"Asian","44",".23%","95.65%","2",".10%","4.35%","46",".22%"
"Unknown","2",".01%","100.00%","","","","2",".01%"
"10
Hispanic","869","4.55%","95.70%","39","2.00%","4.30%","908","4.31%"
"12
Native American","8",".04%","88.89%","1",".05%","11.11%","9",".04%"
"Total Reported","19,103","100%","90.73%","1,952","100%","9.27%","21,055","100%"
