"Hispanic Origin","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Non Hispanic","18,158","95.48%","89.66%","2,093","97.21%","10.34%","20,251","95.65%"
"Hispanic","860","4.52%","93.48%","60","2.79%","6.52%","920","4.35%"
"Total Reported","19,018","100%","89.83%","2,153","100%","10.17%","21,171","100%"
