"Hispanic Origin","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Non Hispanic","18,179","95.50%","88.90%","2,269","96.80%","11.10%","20,448","95.64%"
"Hispanic","857","4.50%","91.85%","75","3.20%","8.04%","933","4.36%"
"Total Reported","19,036","100%","89.03%","2,344","100%","10.96%","21,381","100%"
