"Hispanic Origin","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Non Hispanic","18,112","96.86%","88.77%","2,290","99.65%","11.22%","20,404","97.17%"
"Hispanic","587","3.14%","98.66%","8",".35%","1.34%","595","2.83%"
"Total Reported","18,699","100%","89.05%","2,298","100%","10.94%","20,999","100%"
