"Hispanic Origin","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Non Hispanic","18,741","96.09%","89.19%","2,266","99.43%","10.78%","21,012","96.44%"
"Hispanic","763","3.91%","98.32%","13",".57%","1.68%","776","3.56%"
"Total Reported","19,504","100%","89.52%","2,279","100%","10.46%","21,788","100%"
