"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","5,875","36.88%","82.55%","1,242","63.50%","17.45%","7,117","39.79%"
"Black","9,438","59.24%","93.33%","674","34.46%","6.67%","10,112","56.53%"
"Other
1 2 5 6 9","12",".08%","75.00%","4",".20%","25.00%","16",".09%"
"Asian","47",".30%","85.45%","8",".41%","14.55%","55",".31%"
"Unknown","2",".01%","66.67%","1",".05%","33.33%","3",".02%"
"10
Hispanic","545","3.42%","95.28%","27","1.38%","4.72%","572","3.20%"
"12
Native American","12",".08%","100.00%","","","","12",".07%"
"13
Native Hawaiian","1",".01%","100.00%","","","","1",".01%"
"Total Reported","15,932","100%","89.07%","1,956","100%","10.93%","17,888","100%"
