"Hispanic Origin","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Non Hispanic","15,519","95.17%","87.31%","2,256","96.66%","12.69%","17,775","95.35%"
"Hispanic","788","4.83%","90.99%","78","3.34%","9.01%","866","4.65%"
"Total Reported","16,307","100%","87.48%","2,334","100%","12.52%","18,641","100%"
