"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,723","35.22%","84.51%","1,232","59.23%","15.49%","7,955","37.58%"
"Black","11,519","60.35%","93.43%","810","38.94%","6.57%","12,329","58.25%"
"Other
1 2 5 6 9","13",".07%","81.25%","3",".14%","18.75%","16",".08%"
"Asian","61",".32%","96.83%","2",".10%","3.17%","63",".30%"
"Unknown","1",".01%","100.00%","","","","1",".01%"
"10
Hispanic","757","3.97%","95.94%","32","1.54%","4.06%","789","3.73%"
"12
Native American","12",".06%","92.31%","1",".05%","7.69%","13",".06%"
"Total Reported","19,086","100%","90.17%","2,080","100%","9.83%","21,166","100%"
