"Hispanic Origin","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Non Hispanic","17,189","95.41%","88.80%","2,167","98.59%","11.19%","19,358","95.76%"
"Hispanic","826","4.59%","96.38%","31","1.41%","3.62%","857","4.24%"
"Total Reported","18,015","100%","89.12%","2,198","100%","10.87%","20,215","100%"
