"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","7,051","42.14%","82.35%","1,511","67.67%","17.65%","8,562","45.14%"
"Black","9,126","54.54%","93.06%","681","30.50%","6.94%","9,807","51.71%"
"Other
1 2 5 6 9","20",".12%","86.96%","3",".13%","13.04%","23",".12%"
"Asian","55",".33%","96.49%","2",".09%","3.51%","57",".30%"
"Unknown","8",".05%","100.00%","","","","8",".04%"
"10
Hispanic","463","2.77%","92.79%","36","1.61%","7.21%","499","2.63%"
"12
Native American","10",".06%","100.00%","","","","10",".05%"
"13
Native Hawaiian","1",".01%","100.00%","","","","1",".01%"
"Total Reported","16,734","100%","88.23%","2,233","100%","11.77%","18,967","100%"
