"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,099","33.54%","83.13%","1,238","53.04%","16.87%","7,337","35.76%"
"Black
1 2 3 6","12,036","66.19%","91.65%","1,096","46.96%","8.35%","13,132","64.01%"
"Indian","11",".06%","100.00%","","","","11",".05%"
"Asian","37",".20%","100.00%","","","","37",".18%"
"Total Reported","18,183","100%","88.62%","2,334","100%","11.38%","20,517","100%"
