"Hispanic Origin","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Non Hispanic","17,415","95.49%","89.09%","2,132","96.69%","10.91%","19,547","95.62%"
"Hispanic","822","4.51%","91.84%","73","3.31%","8.16%","895","4.38%"
"Total Reported","18,237","100%","89.21%","2,205","100%","10.79%","20,442","100%"
