"Hispanic Origin","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Non Hispanic","15,918","96.61%","88.86%","1,996","97.75%","11.14%","17,914","96.73%"
"Hispanic","559","3.39%","92.40%","46","2.25%","7.60%","605","3.27%"
"Total Reported","16,477","100%","88.97%","2,042","100%","11.03%","18,519","100%"
