"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,373","36.13%","83.01%","1,304","60.26%","16.99%","7,677","38.77%"
"Black","10,558","59.86%","92.85%","813","37.57%","7.15%","11,371","57.43%"
"Other
1 2 5 6 9","16",".09%","72.73%","6",".28%","27.27%","22",".11%"
"Asian","45",".26%","84.91%","8",".37%","15.09%","53",".27%"
"Unknown","1",".01%","50.00%","1",".05%","50.00%","2",".01%"
"10
Hispanic","632","3.58%","95.76%","28","1.29%","4.24%","660","3.33%"
"12
Native American","12",".07%","75.00%","4",".18%","25.00%","16",".08%"
"Total Reported","17,637","100%","89.07%","2,164","100%","10.93%","19,801","100%"
