"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,398","40.12%","80.47%","1,553","66.68%","19.53%","7,951","43.51%"
"Black","8,930","56.00%","92.40%","735","31.56%","7.60%","9,665","52.89%"
"Other
1 2 5 6 9","20",".13%","90.91%","2",".09%","9.09%","22",".12%"
"Asian","49",".31%","84.48%","9",".39%","15.52%","58",".32%"
"Unknown","4",".03%","100.00%","","","","4",".02%"
"10
Hispanic","538","3.37%","95.22%","27","1.16%","4.78%","565","3.09%"
"12
Native American","7",".04%","70.00%","3",".13%","30.00%","10",".05%"
"Total Reported","15,946","100%","87.26%","2,329","100%","12.74%","18,275","100%"
