"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","5,889","36.46%","85.83%","972","50.94%","14.17%","6,861","37.99%"
"Black
1 2 3 6","10,235","63.37%","91.65%","933","48.90%","8.35%","11,168","61.85%"
"Indian","19",".12%","95.00%","1",".05%","5.00%","20",".11%"
"Asian","7",".04%","77.78%","2",".10%","22.22%","9",".05%"
"Total Reported","16,150","100%","89.43%","1,908","100%","10.57%","18,058","100%"
