"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,361","34.09%","88.32%","2,295","58.41%","11.68%","19,656","35.83%"
"Black","31,273","61.40%","95.27%","1,551","39.48%","4.73%","32,824","59.83%"
"Other","57",".11%","90.48%","6",".15%","9.52%","63",".11%"
"Asian","179",".35%","94.71%","10",".25%","5.29%","189",".34%"
"Unknown","10",".02%","83.33%","2",".05%","16.67%","12",".02%"
"Hispanic","2,024","3.97%","96.93%","64","1.63%","3.07%","2,088","3.81%"
"Native American","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,931","100%","92.84%","3,929","100%","7.16%","54,860","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,931","","","3,929","","","54,860",""
