"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,463","35.03%","88.27%","2,187","59.48%","11.73%","18,650","36.80%"
"Black","28,311","60.24%","95.22%","1,422","38.67%","4.78%","29,733","58.68%"
"Other","14",".03%","77.78%","4",".11%","22.22%","18",".04%"
"Asian","155",".33%","94.51%","9",".24%","5.49%","164",".32%"
"Unknown","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Hispanic","2,026","4.31%","97.50%","52","1.41%","2.50%","2,078","4.10%"
"Native American","26",".06%","96.30%","1",".03%","3.70%","27",".05%"
"Native Hawaiian","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Total Reported","46,997","100%","92.74%","3,677","100%","7.26%","50,674","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","46,997","","","3,677","","","50,674",""
