"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,898","33.43%","88.59%","2,176","57.64%","11.41%","19,074","35.12%"
"Black","31,465","62.26%","95.35%","1,534","40.64%","4.65%","32,999","60.75%"
"Other","56",".11%","91.80%","5",".13%","8.20%","61",".11%"
"Asian","172",".34%","94.51%","10",".26%","5.49%","182",".34%"
"Unknown","7",".01%","87.50%","1",".03%","12.50%","8",".01%"
"Hispanic","1,917","3.79%","97.61%","47","1.25%","2.39%","1,964","3.62%"
"Native American","26",".05%","92.86%","2",".05%","7.14%","28",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,542","100%","93.05%","3,775","100%","6.95%","54,317","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,542","","","3,775","","","54,317",""
