"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,226","32.59%","89.29%","1,947","54.98%","10.71%","18,173","34.08%"
"Black","31,238","62.74%","95.37%","1,515","42.78%","4.63%","32,753","61.41%"
"Other","41",".08%","87.23%","6",".17%","12.77%","47",".09%"
"Asian","163",".33%","92.09%","14",".40%","7.91%","177",".33%"
"Unknown","4",".01%","100.00%","0","0%","0%","4",".01%"
"Hispanic","2,093","4.20%","97.30%","58","1.64%","2.70%","2,151","4.03%"
"Native American","25",".05%","96.15%","1",".03%","3.85%","26",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,791","100%","93.36%","3,541","100%","6.64%","53,332","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,791","","","3,541","","","53,332",""
