"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,330","34.08%","88.29%","2,299","58.65%","11.71%","19,629","35.84%"
"Black","31,203","61.37%","95.30%","1,540","39.29%","4.70%","32,743","59.79%"
"Other","55",".11%","90.16%","6",".15%","9.84%","61",".11%"
"Asian","176",".35%","94.62%","10",".26%","5.38%","186",".34%"
"Unknown","11",".02%","84.62%","2",".05%","15.38%","13",".02%"
"Hispanic","2,045","4.02%","97.06%","62","1.58%","2.94%","2,107","3.85%"
"Native American","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,845","100%","92.84%","3,920","100%","7.16%","54,765","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,845","","","3,920","","","54,765",""
