"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,111","33.61%","87.97%","2,203","57.43%","12.03%","18,314","35.37%"
"Black","29,297","61.11%","94.94%","1,562","40.72%","5.06%","30,859","59.60%"
"Other","16",".03%","76.19%","5",".13%","23.81%","21",".04%"
"Asian","172",".36%","95.56%","8",".21%","4.44%","180",".35%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,307","4.81%","97.59%","57","1.49%","2.41%","2,364","4.57%"
"Native American","34",".07%","100.00%","0","0%","0%","34",".07%"
"Native Hawaiian","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Total Reported","47,940","100%","92.59%","3,836","100%","7.41%","51,776","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","47,940","","","3,836","","","51,776",""
