"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,394","34.14%","88.33%","2,297","58.64%","11.67%","19,691","35.89%"
"Black","31,217","61.28%","95.30%","1,540","39.32%","4.70%","32,757","59.71%"
"Other","56",".11%","90.32%","6",".15%","9.68%","62",".11%"
"Asian","178",".35%","93.68%","12",".31%","6.32%","190",".35%"
"Unknown","13",".03%","86.67%","2",".05%","13.33%","15",".03%"
"Hispanic","2,062","4.05%","97.22%","59","1.51%","2.78%","2,121","3.87%"
"Native American","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,943","100%","92.86%","3,917","100%","7.14%","54,860","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,943","","","3,917","","","54,860",""
