"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,102","32.23%","89.12%","2,088","53.63%","10.88%","19,190","33.70%"
"Black","33,347","62.85%","95.12%","1,711","43.95%","4.88%","35,058","61.56%"
"Other","49",".09%","87.50%","7",".18%","12.50%","56",".10%"
"Asian","149",".28%","93.71%","10",".26%","6.29%","159",".28%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,378","4.48%","96.94%","75","1.93%","3.06%","2,453","4.31%"
"Native American","31",".06%","93.94%","2",".05%","6.06%","33",".06%"
"Total Reported","53,058","100%","93.16%","3,893","100%","6.84%","56,951","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","53,058","","","3,893","","","56,951",""
