"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,396","35.00%","89.63%","1,782","58.77%","10.37%","17,178","36.53%"
"Black","26,509","60.26%","95.70%","1,191","39.28%","4.30%","27,700","58.91%"
"Other","17",".04%","94.44%","1",".03%","5.56%","18",".04%"
"Asian","150",".34%","94.94%","8",".26%","5.06%","158",".34%"
"Unknown","7",".02%","100.00%","0","0%","0%","7",".01%"
"Hispanic","1,889","4.29%","97.52%","48","1.58%","2.48%","1,937","4.12%"
"Native American","20",".05%","90.91%","2",".07%","9.09%","22",".05%"
"Total Reported","43,988","100%","93.55%","3,032","100%","6.45%","47,020","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,988","","","3,032","","","47,020",""
