"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,254","33.92%","88.57%","2,226","57.92%","11.43%","19,480","35.60%"
"Black","31,378","61.68%","95.30%","1,546","40.23%","4.70%","32,924","60.17%"
"Other","59",".12%","89.39%","7",".18%","10.61%","66",".12%"
"Asian","181",".36%","95.26%","9",".23%","4.74%","190",".35%"
"Unknown","8",".02%","80.00%","2",".05%","20.00%","10",".02%"
"Hispanic","1,968","3.87%","97.43%","52","1.35%","2.57%","2,020","3.69%"
"Native American","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Native Hawaiian","2",".01%","100.00%","0","0%","0%","2",".01%"
"Total Reported","50,872","100%","92.98%","3,843","100%","7.02%","54,715","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,872","","","3,843","","","54,715",""
