report,white_male_pop,white_female_pop,white_pop,black_male_pop,black_female_pop,black_pop,asian_male_pop,asian_female_pop,asian_pop,indian_male_pop,indian_female_pop,indian_pop,hispanic_male_pop,hispanic_female_pop,hispanic_pop,native_american_male_pop,native_american_female_pop,native_american_pop,native_hawaiian_male_pop,native_hawaiian_female_pop,native_hawaiian_pop,race_unknown_male_pop,race_unknown_female_pop,race_unknown_pop,race_other_male_pop,race_other_female_pop,race_other_pop,race_not_reported_male_pop,race_not_reported_female_pop,race_not_reported_pop,race_reported_male_pop,race_reported_female_pop,race_reported
2005-07,16465,1308,17773,28506,1375,29881,42,2,44,50,2,52,,,,,,,,,,,,,,,,169,6,175,45063,2687,47750
2005-08,16437,1321,17758,28477,1395,29872,44,2,46,52,2,54,,,,,,,,,,,,,,,,176,6,182,45010,2720,47730
2005-09,16364,1345,17709,28350,1406,29756,47,3,50,50,2,52,,,,,,,,,,,,,,,,179,6,185,44811,2756,47567
2005-10,16294,1360,17654,28145,1398,29543,45,3,48,52,2,54,,,,,,,,,,,,,,,,177,7,184,44536,2763,47299
2005-11,16591,1402,17993,28557,1414,29971,45,3,48,51,2,53,,,,,,,,,,,,,,,,181,7,188,45244,2821,48065
2005-12,16737,1403,18140,28810,1436,30246,42,3,45,53,2,55,,,,,,,,,,,,,,,,181,7,188,45642,2844,48486
2006-01,16821,1436,18257,28749,1444,30193,43,3,46,51,2,53,,,,,,,,,,,,,,,,192,8,200,45664,2885,48549
2006-02,16976,1577,18553,28978,1485,30463,46,3,49,51,2,53,,,,,,,,,,,,,,,,193,10,203,46051,3067,49118
2006-03,17200,1680,18880,29179,1593,30772,42,3,45,53,2,55,,,,,,,,,,,,,,,,189,12,201,46474,3278,49752
2006-04,17386,1741,19127,29409,1603,31012,45,3,48,54,2,56,,,,,,,,,,,,,,,,203,11,214,46894,3349,50243
2006-06,18126,1845,19971,30675,1644,32319,44,3,47,59,2,61,,,,,,,,,,,,,,,,223,14,237,48904,3494,52398
2006-07,18226,1881,20107,30527,1674,32201,44,3,47,61,4,65,,,,,,,,,,,,,,,,225,14,239,48858,3562,52420
2006-08,18042,1886,19928,30323,1657,31980,43,4,47,57,4,61,,,,,,,,,,,,,,,,226,17,243,48465,3551,52016
2006-09,18170,1906,20076,30385,1639,32024,41,4,45,60,4,64,,,,,,,,,,,,,,,,229,15,244,48656,3553,52209
2006-10,18141,1901,20042,30416,1644,32060,42,4,46,59,4,63,,,,,,,,,,,,,,,,231,15,246,48658,3553,52211
2006-11,17960,1878,19838,30224,1614,31838,41,4,45,58,4,62,,,,,,,,,,,,,,,,225,14,239,48283,3500,51783
2006-12,18274,1893,20167,30630,1641,32271,42,4,46,60,4,64,,,,,,,,,,,,,,,,229,15,244,49006,3542,52548
2007-01,18042,1886,19928,30213,1633,31846,43,4,47,59,4,63,,,,,,,,,,,,,,,,231,14,245,48357,3527,51884
2007-02,17981,1871,19852,30119,1643,31762,42,4,46,58,4,62,,,,,,,,,,,,,,,,226,14,240,48200,3522,51722
2007-03,18153,1886,20039,30444,1666,32110,41,3,44,55,3,58,,,,,,,,,,,,,,,,229,14,243,48693,3558,52251
2007-04,18297,1894,20191,30561,1645,32206,42,3,45,56,3,59,,,,,,,,,,,,,,,,229,14,243,48956,3545,52501
2007-05,18200,1874,20074,30548,1643,32191,42,3,45,54,2,56,,,,,,,,,,,,,,,,225,13,238,48844,3522,52366
2007-06,18479,1877,20356,30894,1635,32529,42,3,45,54,2,56,,,,,,,,,,,,,,,,227,13,240,49469,3517,52986
2007-07,18398,1870,20268,30926,1628,32554,42,3,45,55,2,57,,,,,,,,,,,,,,,,234,12,246,49421,3503,52924
2007-08,18341,1906,20247,30834,1647,32481,41,3,44,56,3,59,,,,,,,,,,,,,,,,218,12,230,49272,3559,52831
2007-09,18417,1888,20305,30884,1624,32508,44,3,47,56,3,59,,,,,,,,,,,,,,,,219,12,231,49401,3518,52919
2007-10,18563,1937,20500,31069,1621,32690,43,3,46,56,4,60,,,,,,,,,,,,,,,,225,13,238,49731,3565,53296
2007-11,18754,1943,20697,31461,1606,33067,45,3,48,57,4,61,,,,,,,,,,,,,,,,223,15,238,50317,3556,53873
2007-12,18824,1935,20759,31552,1589,33141,50,3,53,58,4,62,,,,,,,,,,,,,,,,227,14,241,50484,3531,54015
2008-01,18839,1955,20794,31523,1609,33132,50,3,53,59,4,63,,,,,,,,,,,,,,,,226,13,239,50471,3571,54042
2008-02,18885,1905,20790,31557,1567,33124,52,3,55,59,1,60,,,,,,,,,,,,,,,,236,13,249,50553,3476,54029
2008-03,18831,1919,20750,31623,1561,33184,52,4,56,61,2,63,,,,,,,,,,,,,,,,240,13,253,50567,3486,54053
2008-04,18796,1886,20682,31687,1569,33256,54,4,58,61,2,63,,,,,,,,,,,,,,,,251,12,263,50598,3461,54059
2008-05,18734,1921,20655,31635,1590,33225,56,5,61,64,1,65,,,,,,,,,,,,,,,,251,11,262,50489,3517,54006
2008-06,18586,1937,20523,31510,1604,33114,58,5,63,63,2,65,,,,,,,,,,,,,,,,240,11,251,50217,3548,53765
2008-07,18317,1959,20276,31281,1629,32910,58,6,64,59,2,61,,,,,,,,,,,,,,,,240,9,249,49715,3596,53311
2008-08,18240,1986,20226,31137,1637,32774,59,6,65,61,2,63,,,,,,,,,,,,,,,,240,9,249,49497,3631,53128
2008-09,17992,1976,19968,30998,1678,32676,61,8,69,60,2,62,,,,,,,,,,,,,,,,239,9,248,49111,3664,52775
2008-10,17986,1985,19971,31141,1669,32810,59,7,66,62,2,64,,,,,,,,,,,,,,,,239,9,248,49248,3663,52911
2008-11,17812,1945,19757,30982,1664,32646,59,7,66,67,2,69,,,,,,,,,,,,,,,,239,8,247,48920,3618,52538
2008-12,17698,1974,19672,30972,1698,32670,57,9,66,68,2,70,,,,,,,,,,,,,,,,232,9,241,48795,3683,52478
2009-01,17691,1950,19641,30919,1708,32627,57,8,65,68,2,70,,,,,,,,,,,,,,,,237,9,246,48735,3668,52403
2009-02,17756,1958,19714,31112,1732,32844,58,8,66,68,2,70,,,,,,,,,,,,,,,,247,11,258,48994,3700,52694
2009-03,17851,1931,19782,31389,1741,33130,57,7,64,65,2,67,,,,,,,,,,,,,,,,245,12,257,49362,3681,53043
2009-04,17934,1912,19846,31579,1722,33301,59,8,67,66,2,68,,,,,,,,,,,,,,,,263,13,276,49638,3644,53282
2009-06,18111,1939,20050,31803,1754,33557,60,8,68,67,3,70,,,,,,,,,,,,,,,,290,14,304,50041,3704,53745
2009-07,18022,1956,19978,31689,1758,33447,61,8,69,67,3,70,,,,,,,,,,,,,,,,303,15,318,49839,3725,53564
2009-08,17670,1947,19617,31422,1773,33195,60,8,68,65,3,68,,,,,,,,,,,,,,,,307,13,320,49217,3731,52948
2009-09,16214,1941,18155,31439,1766,33205,94,2,96,29,2,31,,,,,,,,,,,,,,,,1776,24,1800,47776,3711,51487
2009-10,17604,1947,19551,31473,1783,33256,63,6,69,65,4,69,,,,,,,,,,,,,,,,365,17,382,49205,3740,52945
2009-11,16127,1983,18110,31650,1797,33447,95,2,97,30,2,32,,,,,,,,,,,,,,,,1808,18,1826,47902,3784,51686
2009-12,16127,1983,18110,31650,1797,33447,95,2,97,30,2,32,,,,,,,,,,,,,,,,1808,18,1826,47902,3784,51686
2010-01,15966,1947,17913,31635,1799,33434,99,3,102,33,1,34,,,,,,,,,,,,,,,,1859,21,1880,47733,3750,51483
2010-02,15844,1918,17762,31918,1780,33698,103,4,107,,,,,,,,,,,,,,,,,,,58,0,58,47865,3702,51567
2010-03,15681,1871,17552,31724,1745,33469,99,5,104,,,,2018,39,2057,32,1,33,,,,3,0,3,50,0,50,0,0,0,49618,3661,53279
2010-04,15497,1869,17366,31444,1739,33183,101,5,106,,,,2026,39,2065,29,2,31,,,,3,0,3,48,0,48,0,0,0,49159,3654,52813
2010-05,15477,1876,17353,31350,1757,33107,102,4,106,,,,2063,46,2109,31,2,33,,,,3,0,3,46,0,46,0,0,0,49083,3685,52768
2010-06,15246,1909,17155,31115,1753,32868,102,4,106,,,,2015,50,2065,31,2,33,,,,2,0,2,48,1,49,0,0,0,48570,3721,52291
2010-07,15263,1932,17195,31146,1742,32888,107,4,111,,,,2061,52,2113,31,2,33,,,,2,0,2,47,1,48,0,0,0,48665,3736,52401
2010-08,15401,1973,17375,31261,1744,33005,107,4,111,,,,2031,54,2085,30,3,33,,,,2,1,3,46,2,48,0,0,0,48885,3784,52670
2010-09,15432,1902,17335,31314,1660,32974,111,4,115,,,,2096,53,2149,30,3,33,,,,1,1,2,53,4,57,0,0,0,49037,3627,52665
2010-10,15462,2003,17465,31322,1694,33016,113,4,117,,,,2132,56,2188,31,3,34,,,,1,0,1,54,3,57,0,0,0,49115,3763,52878
2010-11,15450,1973,17423,31197,1683,32880,110,4,114,,,,2109,57,2166,28,4,32,0,1,1,1,0,1,54,3,57,0,0,0,48949,3725,52674
2010-12,15584,2004,17588,31404,1691,33095,109,4,113,,,,2138,62,2200,31,4,35,0,1,1,1,0,1,55,3,58,0,0,0,49322,3769,53091
2011-01,15586,1967,17553,31218,1669,32887,112,4,116,,,,2157,65,2222,28,4,32,0,1,1,1,0,1,53,3,56,0,0,0,49155,3713,52868
2011-02,15619,1980,17599,31179,1677,32856,109,4,113,,,,2192,69,2261,27,4,31,0,1,1,1,1,2,,,,0,0,0,49179,3740,52919
2011-03,15576,1883,17459,31124,1625,32749,118,4,122,,,,2155,70,2225,25,3,28,0,1,1,,,,50,5,55,0,0,0,49048,3591,52639
