"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,453","32.79%","89.22%","1,988","55.56%","10.78%","18,441","34.30%"
"Black","31,409","62.59%","95.41%","1,511","42.23%","4.59%","32,920","61.24%"
"Other","42",".08%","85.71%","7",".20%","14.29%","49",".09%"
"Asian","162",".32%","92.57%","13",".36%","7.43%","175",".33%"
"Unknown","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Hispanic","2,080","4.14%","97.33%","57","1.59%","2.67%","2,137","3.98%"
"Native American","27",".05%","96.43%","1",".03%","3.57%","28",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,182","100%","93.34%","3,578","100%","6.66%","53,760","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,182","","","3,578","","","53,760",""
