"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,505","32.84%","89.13%","2,013","55.65%","10.87%","18,518","34.38%"
"Black","31,463","62.61%","95.38%","1,525","42.16%","4.62%","32,988","61.24%"
"Other","44",".09%","86.27%","7",".19%","13.73%","51",".09%"
"Asian","162",".32%","92.57%","13",".36%","7.43%","175",".32%"
"Unknown","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Hispanic","2,044","4.07%","97.29%","57","1.58%","2.71%","2,101","3.90%"
"Native American","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,253","100%","93.29%","3,617","100%","6.71%","53,870","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,253","","","3,617","","","53,870",""
