"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,976","33.50%","88.51%","2,204","57.64%","11.49%","19,180","35.19%"
"Black","31,477","62.11%","95.30%","1,553","40.61%","4.70%","33,030","60.60%"
"Other","57",".11%","90.48%","6",".16%","9.52%","63",".12%"
"Asian","177",".35%","93.65%","12",".31%","6.35%","189",".35%"
"Unknown","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Hispanic","1,960","3.87%","97.71%","46","1.20%","2.29%","2,006","3.68%"
"Native American","25",".05%","92.59%","2",".05%","7.41%","27",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,681","100%","92.98%","3,824","100%","7.02%","54,505","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,681","","","3,824","","","54,505",""
