"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,756","32.24%","89.18%","2,033","53.84%","10.82%","18,789","33.70%"
"Black","32,631","62.79%","95.19%","1,648","43.64%","4.81%","34,279","61.49%"
"Other","43",".08%","82.69%","9",".24%","17.31%","52",".09%"
"Asian","155",".30%","93.37%","11",".29%","6.63%","166",".30%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,355","4.53%","97.03%","72","1.91%","2.97%","2,427","4.35%"
"Native American","29",".06%","90.63%","3",".08%","9.38%","32",".06%"
"Total Reported","51,971","100%","93.23%","3,776","100%","6.77%","55,747","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,971","","","3,776","","","55,747",""
