"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,462","31.48%","88.53%","2,003","53.23%","11.47%","17,465","33.03%"
"Black","31,322","63.77%","94.87%","1,694","45.02%","5.13%","33,016","62.44%"
"Other","54",".11%","94.74%","3",".08%","5.26%","57",".11%"
"Asian","113",".23%","96.58%","4",".11%","3.42%","117",".22%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,132","4.34%","97.44%","56","1.49%","2.56%","2,188","4.14%"
"Native American","31",".06%","91.18%","3",".08%","8.82%","34",".06%"
"Total Reported","49,115","100%","92.88%","3,763","100%","7.12%","52,878","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,115","","","3,763","","","52,878",""
