"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,317","32.65%","89.18%","1,980","55.29%","10.82%","18,297","34.16%"
"Black","31,353","62.73%","95.36%","1,524","42.56%","4.64%","32,877","61.39%"
"Other","41",".08%","87.23%","6",".17%","12.77%","47",".09%"
"Asian","165",".33%","92.18%","14",".39%","7.82%","179",".33%"
"Unknown","6",".01%","100.00%","0","0%","0%","6",".01%"
"Hispanic","2,065","4.13%","97.36%","56","1.56%","2.64%","2,121","3.96%"
"Native American","29",".06%","96.67%","1",".03%","3.33%","30",".06%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,977","100%","93.31%","3,581","100%","6.69%","53,558","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,977","","","3,581","","","53,558",""
