"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,730","33.29%","88.60%","2,152","57.02%","11.40%","18,882","34.95%"
"Black","31,327","62.34%","95.27%","1,556","41.23%","4.73%","32,883","60.87%"
"Other","53",".11%","91.38%","5",".13%","8.62%","58",".11%"
"Asian","161",".32%","94.71%","9",".24%","5.29%","170",".31%"
"Unknown","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Hispanic","1,949","3.88%","97.50%","50","1.32%","2.50%","1,999","3.70%"
"Native American","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"Total Reported","50,252","100%","93.01%","3,774","100%","6.99%","54,026","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,252","","","3,774","","","54,026",""
