"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,896","33.50%","88.60%","2,175","57.72%","11.40%","19,071","35.18%"
"Black","31,336","62.13%","95.36%","1,526","40.50%","4.64%","32,862","60.62%"
"Other","57",".11%","87.69%","8",".21%","12.31%","65",".12%"
"Asian","173",".34%","95.58%","8",".21%","4.42%","181",".33%"
"Unknown","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Hispanic","1,940","3.85%","97.59%","48","1.27%","2.41%","1,988","3.67%"
"Native American","27",".05%","93.10%","2",".05%","6.90%","29",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,438","100%","93.05%","3,768","100%","6.95%","54,206","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,438","","","3,768","","","54,206",""
