"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,682","35.06%","89.03%","1,932","59.06%","10.97%","17,614","36.70%"
"Black","26,910","60.17%","95.47%","1,276","39.01%","4.53%","28,186","58.72%"
"Other","6",".01%","60.00%","4",".12%","40.00%","10",".02%"
"Asian","155",".35%","93.94%","10",".31%","6.06%","165",".34%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","1,950","4.36%","97.55%","49","1.50%","2.45%","1,999","4.16%"
"Native American","22",".05%","100.00%","0","0%","0%","22",".05%"
"Total Reported","44,726","100%","93.18%","3,271","100%","6.82%","47,997","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","44,726","","","3,271","","","47,997",""
