"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,903","35.20%","88.90%","1,985","59.31%","11.10%","17,888","36.86%"
"Black","27,156","60.10%","95.43%","1,300","38.84%","4.57%","28,456","58.63%"
"Other","9",".02%","75.00%","3",".09%","25.00%","12",".02%"
"Asian","156",".35%","94.55%","9",".27%","5.45%","165",".34%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","1,936","4.28%","97.53%","49","1.46%","2.47%","1,985","4.09%"
"Native American","23",".05%","95.83%","1",".03%","4.17%","24",".05%"
"Total Reported","45,185","100%","93.1%","3,347","100%","6.9%","48,532","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","45,185","","","3,347","","","48,532",""
