"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,432","31.47%","89.02%","1,902","52.44%","10.97%","17,335","32.92%"
"Black","31,314","63.86%","94.97%","1,660","45.77%","5.03%","32,974","62.61%"
"Other","53",".11%","92.98%","4",".11%","7.02%","57",".11%"
"Asian","111",".23%","96.52%","4",".11%","3.48%","115",".22%"
"Unknown","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Hispanic","2,096","4.27%","97.53%","53","1.46%","2.47%","2,149","4.08%"
"Native American","30",".06%","90.91%","3",".08%","9.09%","33",".06%"
"Total Reported","49,037","100%","93.11%","3,627","100%","6.89%","52,665","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,037","","","3,627","","","52,665",""
