"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,337","32.31%","89.24%","2,091","53.55%","10.76%","19,428","33.75%"
"Black","33,685","62.77%","95.16%","1,715","43.92%","4.84%","35,400","61.49%"
"Other","49",".09%","87.50%","7",".18%","12.50%","56",".10%"
"Asian","151",".28%","93.79%","10",".26%","6.21%","161",".28%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,409","4.49%","96.79%","80","2.05%","3.21%","2,489","4.32%"
"Native American","29",".05%","93.55%","2",".05%","6.45%","31",".05%"
"Total Reported","53,661","100%","93.22%","3,905","100%","6.78%","57,566","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","53,661","","","3,905","","","57,566",""
