"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,728","34.37%","88.07%","2,402","59.22%","11.93%","20,130","36.18%"
"Black","31,499","61.07%","95.23%","1,577","38.88%","4.77%","33,076","59.45%"
"Other","58",".11%","89.23%","7",".17%","10.77%","65",".12%"
"Asian","179",".35%","95.72%","8",".20%","4.28%","187",".34%"
"Unknown","18",".03%","100.00%","0","0%","0%","18",".03%"
"Hispanic","2,074","4.02%","97.14%","61","1.50%","2.86%","2,135","3.84%"
"Native American","25",".05%","96.15%","1",".02%","3.85%","26",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","51,582","100%","92.71%","4,056","100%","7.29%","55,638","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,582","","","4,056","","","55,638",""
