"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,201","32.86%","87.79%","2,254","55.71%","12.21%","18,455","34.6%"
"Black","30,342","61.55%","94.64%","1,717","42.44%","5.36%","32,059","60.1%"
"Other","17","0.03%","80.95%","4","0.1%","19.05%","21","0.04%"
"Asian","162","0.33%","94.19%","10","0.25%","5.81%","172","0.32%"
"Unknown","4","0.01%","100.0%","0","0%","0%","4","0.01%"
"Hispanic","2,533","5.14%","97.76%","58","1.43%","2.24%","2,591","4.86%"
"Native American","36","0.07%","92.31%","3","0.07%","7.69%","39","0.07%"
"Native Hawaiian","3","0.01%","100.0%","0","0%","0%","3","0.01%"
"Total Reported","49,298","100.00%","92.42%","4,046","100.00%","7.58%","53,344","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,298","","","4,046","","","53,344",""
