"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,715","33.45%","88.59%","2,152","57.11%","11.41%","18,867","35.11%"
"Black","31,062","62.17%","95.27%","1,541","40.90%","4.73%","32,603","60.67%"
"Other","51",".10%","92.73%","4",".11%","7.27%","55",".10%"
"Asian","159",".32%","93.53%","11",".29%","6.47%","170",".32%"
"Unknown","8",".02%","88.89%","1",".03%","11.11%","9",".02%"
"Hispanic","1,950","3.90%","97.11%","58","1.54%","2.89%","2,008","3.74%"
"Native American","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Total Reported","49,967","100%","92.99%","3,768","100%","7.01%","53,735","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,967","","","3,768","","","53,735",""
