"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,375","33.16%","88.97%","2,030","56.50%","11.03%","18,405","34.74%"
"Black","30,808","62.39%","95.38%","1,491","41.50%","4.62%","32,299","60.97%"
"Other","47",".10%","92.16%","4",".11%","7.84%","51",".10%"
"Asian","160",".32%","93.02%","12",".33%","6.98%","172",".32%"
"Unknown","7",".01%","87.50%","1",".03%","12.50%","8",".02%"
"Hispanic","1,959","3.97%","97.32%","54","1.50%","2.68%","2,013","3.80%"
"Native American","22",".04%","95.65%","1",".03%","4.35%","23",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","49,379","100%","93.22%","3,593","100%","6.78%","52,972","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,379","","","3,593","","","52,972",""
