"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","27,131","52.50%","93.68%","1,831","45.09%","6.32%","28,962","51.96%"
"Sex Crime","8,803","17.03%","98.46%","138","3.40%","1.54%","8,941","16.04%"
"Property","7,483","14.48%","89.57%","871","21.45%","10.43%","8,354","14.99%"
"Drug","5,320","10.29%","84.51%","975","24.01%","15.49%","6,295","11.29%"
"Habit/DUI","98",".19%","85.96%","16",".39%","14.04%","114",".20%"
"Other","2,844","5.50%","92.52%","230","5.66%","7.48%","3,074","5.51%"
"Total Reported","51,679","100%","92.71%","4,061","100%","7.29%","55,740","100%"
