"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,923","50.20%","94.11%","1,559","43.84%","5.89%","26,482","49.78%"
"Sex Crime","8,249","16.62%","98.46%","129","3.63%","1.54%","8,378","15.75%"
"Property","8,978","18.08%","89.56%","1,047","29.44%","10.44%","10,025","18.84%"
"Drug","5,382","10.84%","89.22%","650","18.28%","10.78%","6,032","11.34%"
"Habit/DUI","110",".22%","88.00%","15",".42%","12.00%","125",".23%"
"Other","2,004","4.04%","92.78%","156","4.39%","7.22%","2,160","4.06%"
"Total Reported","49,646","100%","93.32%","3,556","100%","6.68%","53,202","100%"
