"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","26,901","52.46%","93.71%","1,807","44.91%","6.29%","28,708","51.91%"
"Sex Crime","8,777","17.12%","98.42%","141","3.50%","1.58%","8,918","16.13%"
"Property","7,454","14.54%","89.39%","885","21.99%","10.61%","8,339","15.08%"
"Drug","5,269","10.28%","85.04%","927","23.04%","14.96%","6,196","11.20%"
"Habit/DUI","97",".19%","85.84%","16",".40%","14.16%","113",".20%"
"Other","2,781","5.42%","91.81%","248","6.16%","8.19%","3,029","5.48%"
"Total Reported","51,279","100%","92.72%","4,024","100%","7.28%","55,303","100%"
