"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","25,243","50.95%","94.10%","1,583","43.91%","5.90%","26,826","50.48%"
"Sex Crime","8,168","16.49%","98.39%","134","3.72%","1.61%","8,302","15.62%"
"Property","8,470","17.10%","89.38%","1,006","27.91%","10.62%","9,476","17.83%"
"Drug","5,502","11.11%","88.67%","703","19.50%","11.33%","6,205","11.68%"
"Habit/DUI","97",".20%","88.18%","13",".36%","11.82%","110",".21%"
"Other","2,061","4.16%","92.55%","166","4.60%","7.45%","2,227","4.19%"
"Total Reported","49,541","100%","93.22%","3,605","100%","6.78%","53,146","100%"
