"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,817","48.68%","94.25%","1,515","41.39%","5.75%","26,332","48.19%"
"Sex Crime","8,202","16.09%","98.51%","124","3.39%","1.49%","8,326","15.24%"
"Property","9,846","19.31%","89.48%","1,157","31.61%","10.52%","11,003","20.14%"
"Drug","6,032","11.83%","89.48%","709","19.37%","10.52%","6,741","12.34%"
"Habit/DUI","88",".17%","82.24%","19",".52%","17.76%","107",".20%"
"Other","1,992","3.91%","93.61%","136","3.72%","6.39%","2,128","3.89%"
"Total Reported","50,977","100%","93.3%","3,660","100%","6.7%","54,637","100%"
