"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,031","55.53%","94.03%","1,525","52.19%","5.97%","25,556","55.32%"
"Sex Crime","7,900","18.25%","98.58%","114","3.90%","1.42%","8,014","17.35%"
"Property","5,276","12.19%","91.95%","462","15.81%","8.05%","5,738","12.42%"
"Drug","3,917","9.05%","85.94%","641","21.94%","14.06%","4,558","9.87%"
"Habit/DUI","74",".17%","89.16%","9",".31%","10.84%","83",".18%"
"Other","2,079","4.80%","92.40%","171","5.85%","7.60%","2,250","4.87%"
"Total Reported","43,277","100%","93.68%","2,922","100%","6.32%","46,199","100%"
