"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,613","46.99%","94.26%","1,498","38.61%","5.74%","26,111","46.41%"
"Sex Crime","8,001","15.28%","98.61%","113","2.91%","1.39%","8,114","14.42%"
"Property","10,578","20.20%","88.94%","1,315","33.89%","11.06%","11,893","21.14%"
"Drug","6,957","13.28%","89.56%","811","20.90%","10.44%","7,768","13.81%"
"Habit/DUI","112",".21%","93.33%","8",".21%","6.67%","120",".21%"
"Other","2,118","4.04%","94.01%","135","3.48%","5.99%","2,253","4.00%"
"Total Reported","52,379","100%","93.1%","3,880","100%","6.9%","56,259","100%"
