"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","26,705","52.40%","93.82%","1,758","44.52%","6.18%","28,463","51.83%"
"Sex Crime","8,649","16.97%","98.43%","138","3.49%","1.57%","8,787","16.00%"
"Property","7,570","14.85%","89.18%","918","23.25%","10.82%","8,488","15.46%"
"Drug","5,313","10.42%","85.50%","901","22.82%","14.50%","6,214","11.32%"
"Habit/DUI","101",".20%","87.83%","14",".35%","12.17%","115",".21%"
"Other","2,630","5.16%","92.28%","220","5.57%","7.72%","2,850","5.19%"
"Total Reported","50,968","100%","92.81%","3,949","100%","7.19%","54,917","100%"
