"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","23,617","47.40%","94.41%","1,399","39.07%","5.59%","25,016","46.84%"
"Sex Crime","7,707","15.47%","98.66%","105","2.93%","1.34%","7,812","14.63%"
"Property","9,551","19.17%","88.98%","1,183","33.04%","11.02%","10,734","20.10%"
"Drug","6,789","13.63%","89.88%","764","21.33%","10.12%","7,553","14.14%"
"Habit/DUI","129",".26%","95.56%","6",".17%","4.44%","135",".25%"
"Other","2,031","4.08%","94.25%","124","3.46%","5.75%","2,155","4.04%"
"Total Reported","49,824","100%","93.29%","3,581","100%","6.71%","53,405","100%"
