"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","21,954","44.02%","94.41%","1,300","36.17%","5.59%","23,254","43.49%"
"Sex Crime","7,600","15.24%","98.59%","109","3.03%","1.41%","7,709","14.42%"
"Property","9,436","18.92%","88.99%","1,168","32.50%","11.01%","10,604","19.83%"
"Drug","8,363","16.77%","90.66%","862","23.98%","9.34%","9,225","17.25%"
"Habit/DUI","156",".31%","94.55%","9",".25%","5.45%","165",".31%"
"Other","2,363","4.74%","94.18%","146","4.06%","5.82%","2,509","4.69%"
"Total Reported","49,872","100%","93.28%","3,594","100%","6.72%","53,466","100%"
