"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","774","1.56%","95.56%","36","1.03%","4.44%","810","1.53%"
"Twenties (20-29)","15,066","30.40%","93.99%","963","27.59%","6.01%","16,029","30.21%"
"Thirties (30-39)","14,440","29.13%","92.58%","1,157","33.15%","7.42%","15,597","29.40%"
"Forties (40-49)","10,431","21.04%","92.34%","865","24.79%","7.66%","11,296","21.29%"
"Fifties (50-59)","6,450","13.01%","94.51%","375","10.74%","5.49%","6,825","12.86%"
"Sixties (60-69)","1,844","3.72%","95.89%","79","2.26%","4.11%","1,923","3.62%"
"Seventy + (70 and above)","562","1.13%","97.40%","15","0.43%","2.60%","577","1.09%"
"Total Reported","49,567","100%","93.42%","3,490","100%","6.58%","53,057","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,567","","","3,490","","","53,057",""
