"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","874","1.70%","97.11%","26","0.69%","2.89%","900","1.63%"
"Twenties (20-29)","15,947","31.02%","93.84%","1,047","27.92%","6.16%","16,994","30.81%"
"Thirties (30-39)","14,891","28.96%","92.34%","1,236","32.96%","7.66%","16,127","29.23%"
"Forties (40-49)","10,875","21.15%","92.01%","944","25.17%","7.99%","11,819","21.42%"
"Fifties (50-59)","6,513","12.67%","94.19%","402","10.72%","5.81%","6,915","12.53%"
"Sixties (60-69)","1,760","3.42%","95.60%","81","2.16%","4.40%","1,841","3.34%"
"Seventy + (70 and above)","556","1.08%","97.54%","14","0.37%","2.46%","570","1.03%"
"Total Reported","51,416","100%","93.20%","3,750","100%","6.80%","55,166","100%"
"Not Reported","78","","","1","","","79",""
"Grand Total","51,494","","","3,751","","","55,245",""
