"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","960","1.81%","97.46%","25","0.64%","2.54%","985","1.73%"
"Twenties (20-29)","16,440","31.01%","93.88%","1,072","27.54%","6.12%","17,512","30.77%"
"Thirties (30-39)","15,398","29.05%","92.29%","1,287","33.07%","7.71%","16,685","29.32%"
"Forties (40-49)","11,356","21.42%","91.90%","1,001","25.72%","8.10%","12,357","21.72%"
"Fifties (50-59)","6,581","12.41%","94.00%","420","10.79%","6.00%","7,001","12.30%"
"Sixties (60-69)","1,725","3.25%","95.89%","74","1.90%","4.11%","1,799","3.16%"
"Seventy + (70 and above)","553","1.04%","97.70%","13","0.33%","2.30%","566","0.99%"
"Total Reported","53,013","100%","93.16%","3,892","100%","6.84%","56,905","100%"
"Not Reported","45","","","1","","","46",""
"Grand Total","53,058","","","3,893","","","56,951",""
