"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,801","6.11%","96.69%","96","3.37%","3.31%","2,897","5.95%"
"Twenties","14,677","32.03%","94.62%","835","29.29%","5.38%","15,512","31.87%"
"Thirties","13,429","29.31%","93.17%","985","34.55%","6.83%","14,414","29.61%"
"Forties","10,420","22.74%","93.39%","738","25.89%","6.61%","11,158","22.92%"
"Fifties","3,549","7.75%","95.76%","157","5.51%","4.24%","3,706","7.61%"
"Sixties","809","1.77%","95.40%","39","1.37%","4.60%","848","1.74%"
"Seventy +","137","0.30%","99.28%","1","0.04%","0.72%","138","0.28%"
"Total Reported","45,822","100%","94.14%","2,851","100%","5.86%","48,673","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","45,823","","","2,851","","","48,674",""
