"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","393","0.83%","92.47%","32","0.85%","7.53%","425","0.84%"
"Twenties (20-29)","9,658","20.51%","93.04%","723","19.19%","6.96%","10,381","20.41%"
"Thirties (30-39)","14,685","31.19%","91.48%","1,367","36.29%","8.52%","16,052","31.56%"
"Forties (40-49)","11,241","23.87%","91.99%","979","25.99%","8.01%","12,220","24.03%"
"Fifties (50-59)","6,825","14.49%","93.39%","483","12.82%","6.61%","7,308","14.37%"
"Sixties (60-69)","3,372","7.16%","95.63%","154","4.09%","4.37%","3,526","6.93%"
"Seventy + (70 and above)","914","1.94%","96.92%","29","0.77%","3.08%","943","1.85%"
"Total Reported","47,088","100%","92.59%","3,767","100%","7.41%","50,855","100%"
"Not Reported","408","","","3","","","411",""
"Grand Total","47,496","","","3,770","","","51,266",""
