"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","329","0.73%","92.94%","25","0.75%","7.06%","354","0.73%"
"Twenties (20-29)","9,609","21.43%","93.26%","695","20.80%","6.74%","10,304","21.38%"
"Thirties (30-39)","14,085","31.41%","92.11%","1,207","36.13%","7.89%","15,292","31.74%"
"Forties (40-49)","10,432","23.26%","92.42%","856","25.62%","7.58%","11,288","23.43%"
"Fifties (50-59)","6,511","14.52%","94.36%","389","11.64%","5.64%","6,900","14.32%"
"Sixties (60-69)","3,087","6.88%","95.43%","148","4.43%","4.57%","3,235","6.71%"
"Seventy + (70 and above)","791","1.76%","97.41%","21","0.63%","2.59%","812","1.69%"
"Total Reported","44,844","100%","93.07%","3,341","100%","6.93%","48,185","100%"
"Not Reported","379","","","3","","","382",""
"Grand Total","45,223","","","3,344","","","48,567",""
